model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample,score
RandomForest,500,0.3,1,,sqrt,1.0,2.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9881777777777778,,,,0.9513746244398876
RandomForest,500,0.3,2,,sqrt,1.0,2.0,300,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9875555555555555,,,,0.9513124022176654
RandomForest,500,0.3,3,,sqrt,1.0,5.0,100,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.989688888888889,,,,0.9515257355509987
RandomForest,500,0.3,4,,sqrt,1.0,5.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9888,,,,0.9514368466621098
RandomForest,500,0.3,5,,sqrt,1.0,5.0,300,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9886222222222223,,,,0.951419068884332
RandomForest,500,0.3,6,,sqrt,2.0,2.0,100,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9902222222222222,,,,0.9515790688843321
RandomForest,500,0.3,7,,sqrt,2.0,2.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9911111111111112,,,,0.951667957773221
RandomForest,500,0.3,8,,sqrt,2.0,2.0,300,0.94,0.9342105263157895,0.9466666666666667,0.9403973509933775,0.9909333333333333,,,,0.9453879772278379
RandomForest,500,0.3,9,,sqrt,2.0,5.0,100,0.9533333333333334,0.9473684210526315,0.96,0.9536423841059603,0.9925333333333334,,,,0.9574863994423143
RandomForest,500,0.3,10,,sqrt,2.0,5.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9911111111111112,,,,0.951667957773221
RandomForest,500,0.3,11,,sqrt,2.0,5.0,300,0.94,0.9342105263157895,0.9466666666666667,0.9403973509933775,0.9907555555555556,,,,0.9453701994500601
RandomForest,500,0.3,12,10.0,sqrt,1.0,2.0,100,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9864,,,,0.9511968466621099
RandomForest,500,0.3,13,10.0,sqrt,1.0,2.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9879111111111112,,,,0.951347957773221
RandomForest,500,0.3,14,10.0,sqrt,1.0,2.0,300,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9872888888888889,,,,0.9512857355509987
RandomForest,500,0.3,15,10.0,sqrt,1.0,5.0,100,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9893333333333333,,,,0.9514901799954432
RandomForest,500,0.3,16,10.0,sqrt,1.0,5.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9889777777777778,,,,0.9514546244398876
RandomForest,500,0.3,17,10.0,sqrt,1.0,5.0,300,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9886222222222223,,,,0.951419068884332
RandomForest,500,0.3,18,10.0,sqrt,2.0,2.0,100,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9902222222222222,,,,0.9515790688843321
RandomForest,500,0.3,19,10.0,sqrt,2.0,2.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9911111111111112,,,,0.951667957773221
RandomForest,500,0.3,20,10.0,sqrt,2.0,2.0,300,0.94,0.9342105263157895,0.9466666666666667,0.9403973509933775,0.9909333333333333,,,,0.9453879772278379
RandomForest,500,0.3,21,10.0,sqrt,2.0,5.0,100,0.9533333333333334,0.9473684210526315,0.96,0.9536423841059603,0.992,,,,0.9574330661089809
RandomForest,500,0.3,22,10.0,sqrt,2.0,5.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9909333333333334,,,,0.9516501799954432
RandomForest,500,0.3,23,10.0,sqrt,2.0,5.0,300,0.94,0.9342105263157895,0.9466666666666667,0.9403973509933775,0.9905777777777778,,,,0.9453524216722823
