model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample,score
XGBoost,2000,0.2,214,8.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9996499999999999,1.0,0.1,0.8,0.9932305612213247
XGBoost,2000,0.2,215,8.0,,,,300,0.99,0.9851485148514851,0.995,0.9900497512437811,0.999525,1.0,0.1,1.0,0.9909971283434313
XGBoost,2000,0.3,252,4.0,,,,100,0.9833333333333333,0.9865771812080537,0.98,0.9832775919732442,0.999,0.8,0.05,0.8,0.9848653805002506
XGBoost,2000,0.3,253,4.0,,,,100,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9990111111111112,0.8,0.05,1.0,0.9879011111111112
XGBoost,2000,0.3,254,4.0,,,,200,0.985,0.9866220735785953,0.9833333333333333,0.9849749582637729,0.9990333333333332,0.8,0.05,0.8,0.9863869021948509
XGBoost,2000,0.3,255,4.0,,,,200,0.9866666666666667,0.9834437086092715,0.99,0.9867109634551495,0.9992333333333334,0.8,0.05,1.0,0.9879586974250658
XGBoost,2000,0.3,256,4.0,,,,300,0.985,0.98989898989899,0.98,0.9849246231155779,0.9989111111111112,0.8,0.05,0.8,0.9863482960255825
XGBoost,2000,0.3,257,4.0,,,,300,0.9883333333333333,0.9899665551839465,0.9866666666666667,0.988313856427379,0.9991777777777778,0.8,0.05,1.0,0.9894052457427808
XGBoost,2000,0.3,258,6.0,,,,100,0.9833333333333333,0.9865771812080537,0.98,0.9832775919732442,0.9991333333333333,0.8,0.05,0.8,0.9848787138335839
XGBoost,2000,0.3,259,6.0,,,,100,0.985,0.9866220735785953,0.9833333333333333,0.9849749582637729,0.9991666666666666,0.8,0.05,1.0,0.9864002355281842
XGBoost,2000,0.3,260,6.0,,,,200,0.985,0.9866220735785953,0.9833333333333333,0.9849749582637729,0.9992333333333333,0.8,0.05,0.8,0.9864069021948509
XGBoost,2000,0.3,261,6.0,,,,200,0.9883333333333333,0.9867109634551495,0.99,0.9883527454242929,0.9993444444444444,0.8,0.05,1.0,0.9894491274294288
