model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample
RandomForest,2000,0.2,116,,sqrt,2.0,2.0,300,0.99,0.99,0.99,0.99,0.9983,,,
RandomForest,2000,0.2,117,,sqrt,2.0,5.0,100,0.99,0.99,0.99,0.99,0.998675,,,
RandomForest,2000,0.2,118,,sqrt,2.0,5.0,200,0.99,0.99,0.99,0.99,0.9983,,,
RandomForest,2000,0.2,119,,sqrt,2.0,5.0,300,0.99,0.99,0.99,0.99,0.998425,,,
RandomForest,2000,0.2,120,10.0,sqrt,1.0,2.0,100,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9986999999999999,,,
RandomForest,2000,0.2,121,10.0,sqrt,1.0,2.0,200,0.99,0.99,0.99,0.99,0.9989,,,
RandomForest,2000,0.2,122,10.0,sqrt,1.0,2.0,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9987,,,
RandomForest,2000,0.2,123,10.0,sqrt,1.0,5.0,100,0.99,0.99,0.99,0.99,0.9976999999999999,,,
RandomForest,2000,0.2,124,10.0,sqrt,1.0,5.0,200,0.99,0.99,0.99,0.99,0.9980249999999999,,,
RandomForest,2000,0.2,125,10.0,sqrt,1.0,5.0,300,0.99,0.99,0.99,0.99,0.998275,,,
RandomForest,2000,0.2,126,10.0,sqrt,2.0,2.0,100,0.99,0.99,0.99,0.99,0.998375,,,
RandomForest,2000,0.2,127,10.0,sqrt,2.0,2.0,200,0.99,0.99,0.99,0.99,0.9983,,,
RandomForest,2000,0.2,128,10.0,sqrt,2.0,2.0,300,0.99,0.99,0.99,0.99,0.9978249999999999,,,
RandomForest,2000,0.2,129,10.0,sqrt,2.0,5.0,100,0.9875,0.9899497487437185,0.985,0.9874686716791979,0.998525,,,
RandomForest,2000,0.2,130,10.0,sqrt,2.0,5.0,200,0.99,0.99,0.99,0.99,0.9985,,,
RandomForest,2000,0.2,131,10.0,sqrt,2.0,5.0,300,0.99,0.99,0.99,0.99,0.9985,,,
RandomForest,2000,0.2,132,20.0,sqrt,1.0,2.0,100,0.99,0.99,0.99,0.99,0.9985999999999999,,,
RandomForest,2000,0.2,133,20.0,sqrt,1.0,2.0,200,0.99,0.99,0.99,0.99,0.9986625,,,
RandomForest,2000,0.2,134,20.0,sqrt,1.0,2.0,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9984999999999999,,,
RandomForest,2000,0.2,135,20.0,sqrt,1.0,5.0,100,0.99,0.99,0.99,0.99,0.9975,,,
RandomForest,2000,0.2,136,20.0,sqrt,1.0,5.0,200,0.99,0.99,0.99,0.99,0.997525,,,
RandomForest,2000,0.2,137,20.0,sqrt,1.0,5.0,300,0.99,0.99,0.99,0.99,0.998,,,
RandomForest,2000,0.2,138,20.0,sqrt,2.0,2.0,100,0.99,0.99,0.99,0.99,0.998225,,,
RandomForest,2000,0.2,139,20.0,sqrt,2.0,2.0,200,0.99,0.99,0.99,0.99,0.998325,,,
RandomForest,2000,0.2,140,20.0,sqrt,2.0,2.0,300,0.99,0.99,0.99,0.99,0.9983,,,
RandomForest,2000,0.2,141,20.0,sqrt,2.0,5.0,100,0.99,0.99,0.99,0.99,0.998675,,,
RandomForest,2000,0.2,142,20.0,sqrt,2.0,5.0,200,0.99,0.99,0.99,0.99,0.9983,,,
RandomForest,2000,0.2,143,20.0,sqrt,2.0,5.0,300,0.99,0.99,0.99,0.99,0.998425,,,
XGBoost,2000,0.2,144,4.0,,,,100,0.99,0.99,0.99,0.99,0.999375,0.8,0.05,0.8
XGBoost,2000,0.2,145,4.0,,,,100,0.99,0.99,0.99,0.99,0.999275,0.8,0.05,1.0
XGBoost,2000,0.2,146,4.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999575,0.8,0.05,0.8
