model,dataset_size,test_size,param_id,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,accuracy,precision,recall,f1,roc_auc
XGBoost,500,0.2,61,1.0,0.1,6,100,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9947999999999999
XGBoost,500,0.2,62,1.0,0.1,6,300,0.8,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9904000000000001
XGBoost,500,0.2,63,1.0,0.1,6,300,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.99
XGBoost,500,0.2,64,1.0,0.1,6,500,0.8,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9916
XGBoost,500,0.2,65,1.0,0.1,6,500,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9888
XGBoost,500,0.2,66,1.0,0.1,8,100,0.8,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9935999999999999
XGBoost,500,0.2,67,1.0,0.1,8,100,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9947999999999999
XGBoost,500,0.2,68,1.0,0.1,8,300,0.8,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9904000000000001
XGBoost,500,0.2,69,1.0,0.1,8,300,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.99
XGBoost,500,0.2,70,1.0,0.1,8,500,0.8,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9916
XGBoost,500,0.2,71,1.0,0.1,8,500,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9888
XGBoost,500,0.3,0,0.8,0.05,4,100,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9847111111111111
XGBoost,500,0.3,1,0.8,0.05,4,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9845333333333334
XGBoost,500,0.3,2,0.8,0.05,4,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9888
XGBoost,500,0.3,3,0.8,0.05,4,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9891555555555556
XGBoost,500,0.3,4,0.8,0.05,4,500,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9900444444444444
XGBoost,500,0.3,5,0.8,0.05,4,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9898666666666667
XGBoost,500,0.3,6,0.8,0.05,6,100,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9848888888888889
XGBoost,500,0.3,7,0.8,0.05,6,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9850666666666666
XGBoost,500,0.3,8,0.8,0.05,6,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9891555555555555
XGBoost,500,0.3,9,0.8,0.05,6,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9891555555555556
XGBoost,500,0.3,10,0.8,0.05,6,500,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9900444444444444
XGBoost,500,0.3,11,0.8,0.05,6,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9900444444444444
XGBoost,500,0.3,12,0.8,0.05,8,100,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9848888888888889
XGBoost,500,0.3,13,0.8,0.05,8,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9850666666666666
XGBoost,500,0.3,14,0.8,0.05,8,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9891555555555555
XGBoost,500,0.3,15,0.8,0.05,8,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9891555555555556
XGBoost,500,0.3,16,0.8,0.05,8,500,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9900444444444444
XGBoost,500,0.3,17,0.8,0.05,8,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9900444444444444
